base                            |Type                            |Oracle                          |MySQL                           |SQL Server                      |Postgres                        |
NUMBER                          |NUMBER(20)                      |NUMBER(20)                      |                                |                                |                                |
NUMBER                          |NUMBER(3)                       |NUMBER(3)                       |                                |                                |                                |
NUMBER                          |NUMBER(4)                       |NUMBER(4)                       |                                |NUMBER(4)                       |                                |
NUMBER                          |NUMBER(5)                       |NUMBER(5)                       |                                |                                |                                |
NUMBER                          |NUMBER(7)                       |NUMBER(7)                       |                                |                                |                                |
NUMBER                          |NUMBER(p)                       |NUMBER(p)                       |TINYINT                         |TINYINT                         |SMALLINT                        |
NUMBER                          |NUMBER(p,0)                     |NUMBER(p,0)                     |TINYINT                         |TINYINT                         |SMALLINT                        |
NUMBER                          |NUMBER(p,s)                     |NUMBER(p,s)                     |DECIMAL(p,s)                    |DECIMAL(p,s)                    |DECIMAL(p,s)                    |
NUMERIC                         |NUMERIC(20)                     |                                |                                |NUMERIC(20)                     |                                |
NUMERIC                         |NUMERIC(p,s)                    |NUMERIC(p,s)                    |NUMERIC(p,s)                    |NUMERIC(p,s)                    |NUMERIC(p,s)                    |
NVARCHAR                        |NVARCHAR(max)                   |NCLOB                           |NVARCHAR(max)                   |NVARCHAR(max)                   |TEXT                            |
NVARCHAR                        |NVARCHAR(n)                     |NVARCHAR2(n)                    |NVARCHAR(n)                     |NVARCHAR(n)                     |VARCHAR(n)                      |
NVARCHAR2                       |NVARCHAR2(n)                    |NVARCHAR2(n)                    |NVARCHAR(n)                     |NVARCHAR(n)                     |VARCHAR(n)                      |
RAW                             |RAW(255)                        |RAW(255)                        |                                |                                |                                |
RAW                             |RAW(n)                          |RAW(n)                          |BINARY(n)                       |VARBINARY(n)                    |BYTEA                           |
RAW                             |RAW(n/8)                        |RAW(n/8)                        |                                |                                |                                |
REAL                            |REAL                            |REAL                            |REAL                            |REAL                            |REAL                            |
ROWID                           |ROWID                           |ROWID                           |CHAR(10)                        |CHAR(18)                        |CHAR(10)                        |
ROWVERSION                      |ROWVERSION                      |                                |BINARY(8)                       |ROWVERSION                      |BYTEA                           |
SERIAL                          |SERIAL                          |                                |SERIAL                          |NUMERIC(20)                     |SERIAL                          |
SERIAL2                         |SERIAL2                         |                                |                                |                                |SERIAL2                         |
SERIAL4                         |SERIAL4                         |                                |                                |                                |SERIAL4                         |
SERIAL8                         |SERIAL8                         |                                |                                |                                |SERIAL8                         |
SMALLDATETIME                   |SMALLDATETIME                   |                                |DATETIME                        |SMALLDATETIME                   |TIMESTAMP(0)                    |
SMALLINT                        |SMALLINT                        |SMALLINT                        |SMALLINT                        |SMALLINT                        |SMALLINT                        |
SMALLMONEY                      |SMALLMONEY                      |NUMBER(10, 4)                   |DECIMAL(6,4)                    |SMALLMONEY                      |MONEY                           |
SMALLSERIAL                     |SMALLSERIAL                     |                                |                                |                                |SMALLSERIAL                     |
TEXT                            |TEXT                            |CLOB                            |TEXT                            |TEXT                            |TEXT                            |
TIME                            |TIME(p)                         |TIMESTAMP(p)                    |TIME(p)                         |TIME(p)                         |TIME(p)                         |
TIME WITH TIME ZONE             |TIME(p) WITH TIME ZONE          |TIMESTAMP(p) WITH TIME ZONE     |                                |                                |TIME(p) WITH TIME ZONE          |
TIMESTAMP                       |TIMESTAMP                       |                                |BINARY(8)                       |TIMESTAMP                       |BYTEA                           |
